"filename", "language", "TypeScript", "JSON", "TypeScript React", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\.expo-shared\assets.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\App.tsx", "TypeScript React", 0, 0, 34, 0, 0, 0, 6, 40
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Components\Banner.tsx", "TypeScript React", 0, 0, 75, 0, 0, 0, 7, 82
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Components\CartBadge.tsx", "TypeScript React", 0, 0, 24, 0, 0, 0, 6, 30
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Components\CartItemComponent.tsx", "TypeScript React", 0, 0, 157, 0, 0, 0, 12, 169
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Components\CategoryList.tsx", "TypeScript React", 0, 0, 96, 0, 0, 0, 5, 101
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Components\CustomButton.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 4, 44
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Components\DebitCard.tsx", "TypeScript React", 0, 0, 175, 0, 0, 0, 8, 183
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Components\EditShipping.tsx", "TypeScript React", 0, 0, 129, 0, 0, 0, 8, 137
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Components\InputText.tsx", "TypeScript React", 0, 0, 55, 0, 0, 0, 4, 59
